Speed,Torque,Ia magnitude,Ia phase,Ib magnitude,Ib phase,Ic magnitude,Ic phase,I beta magnitude,I beta phase,I alpha magnitude,I alpha phase,Iq ,Id ,,,,,,,,,,,,,,,
0.939299228,0.944879966,0.880766139,0.220672685,0.8254854,-0.360511159,0.977735335,0.936564153,0.880766139,0.220672685,0.988397102,-0.194638792,0.99668629,0.29029642,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.799294628,0.804043545,0.327824497,-0.285537882,0.356243499,-0.982782926,0.295692182,0.330036666,0.327824497,-0.285537882,0.351004219,-0.838127286,0.17390108,0.26686215,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.934954268,0.940509191,0.503656589,-0.09674226,0.666060583,-0.808571832,0.504588095,0.449046258,0.503656589,-0.09674226,0.656749758,-0.695334968,0.083479438,0.309950426,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.810580636,0.815396608,0.347672168,-0.208302749,0.355097632,-0.915226064,0.29320098,0.420776079,0.347672168,-0.208302749,0.342057387,-0.76051072,0.173908336,0.270743536,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.522522014,0.525626519,0.244276727,-0.965042408,0.145594448,0.324324465,0.177662622,-0.176381307,0.244276727,-0.965042408,0.141336959,0.612814653,0.173914566,0.172005382,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.575670667,0.579090948,0.165954053,-0.541481641,0.236659577,0.875177096,0.237530628,0.088909582,0.165954053,-0.541481641,0.273846341,0.984912869,0.173918563,0.190134914,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.392137827,0.394467669,0.125991365,-0.847200705,0.092945124,0.746329005,0.165222232,-0.018739595,0.125991365,-0.847200705,0.149262131,0.900796767,0.173915601,0.127879377,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.319434876,0.321332762,0.119232911,-0.922662068,0.04892154,0.606561868,0.12327171,-0.045590792,0.119232911,-0.922662068,0.09427163,0.865715532,0.173912612,0.103582051,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.020253527,0.020373861,0.00257693,-0.978561781,0.005631193,0.992686294,0.007736122,0.001504558,0.00257693,-0.978561781,0.008205583,0.997892581,0.173913029,0.006463856,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.228572515,0.229930553,0.05309445,-0.129191064,0.097182264,0.998727267,0.05128709,0.120496519,0.05309445,-0.129191064,0.088623223,-0.958075647,0.173913674,0.073614438,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.67106952,0.675056603,0.243987871,-0.311662444,0.308187664,0.981412948,0.238534376,0.251661273,0.243987871,-0.311662444,0.304098841,-0.898374193,0.173917141,0.222805293,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.948105043,0.953738099,0.609763021,-0.297138416,0.59318707,0.984914981,0.483366076,0.341951042,0.609763021,-0.297138416,0.556864217,-0.852189812,0.020153009,0.7881109,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.723551968,0.727850869,0.277322407,-0.688972857,0.27588629,0.725591242,0.314403189,0.01243258,0.277322407,-0.688972857,0.32580207,0.882725206,0.173888365,0.240835411,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.573244575,0.576650442,0.20632362,-0.224906921,0.263571961,-0.983140466,0.173169898,0.289863055,0.20632362,-0.224906921,0.242570942,-0.873340452,0.173910593,0.18930373,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.637602651,0.641390894,0.235293761,0.261179941,0.221612941,-0.284613376,0.280230397,0.993167362,0.235293761,0.261179941,0.279547101,-0.124911256,0.173916483,0.211328959,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.755493046,0.759981721,0.280815897,0.443245594,0.316445875,-0.176487692,0.317210324,-0.902152764,0.280815897,0.443245594,0.352148623,-0.035631798,0.173909471,0.25179859,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.134568529,0.135368052,0.05755763,-0.004714389,0.03352334,-0.939268205,0.022737822,0.902663555,0.05755763,-0.004714389,0.010106311,-0.705002463,0.173912981,0.043091997,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.546962088,0.5502118,0.247425064,-0.072418147,0.217170171,-0.866549062,0.139698401,0.576269284,0.247425064,-0.072418147,0.16885599,-0.696269813,0.173907786,0.180334236,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.131523259,0.132304689,0.056285447,0.995894579,0.032232743,0.060802794,0.022673075,-0.092582181,0.056285447,0.995894579,0.00936111,0.308951032,0.173913095,0.042110525,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.390978649,0.393301604,0.083135154,-0.329557383,0.168383894,0.961968501,0.129022556,0.118110312,0.083135154,-0.329557383,0.17595474,-0.968618642,0.173915117,0.127490718,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.847280957,0.852314979,0.355901177,0.728778416,0.369282437,0.038304746,0.318477493,-0.637571817,0.355901177,0.728778416,0.366775419,0.191491755,0.173910167,0.283363465,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.03185644,0.032045711,0.012553591,0.004257114,0.001888386,-0.926760742,0.0098227,0.99171259,0.012553591,0.004257114,0.005069345,-0.026227604,0.173913054,0.01016814,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.139824205,0.140654954,0.026726116,-0.096204143,0.058007337,0.9960016,0.032448954,0.065590417,0.026726116,-0.096204143,0.054642234,-0.978295266,0.173913061,0.044786932,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.834469823,0.83942773,0.366184691,-0.158669052,0.35685499,-0.861550446,0.304943487,0.487512289,0.366184691,-0.158669052,0.344963065,-0.697619165,0.173918611,0.278960636,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.82469742,0.829597265,0.335259856,0.665579564,0.363778148,-0.017813982,0.314608914,-0.709665138,0.335259856,0.665579564,0.366719271,0.12813485,0.17390311,0.275596431,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.663100158,0.667039891,0.309417922,-0.062186946,0.2641647,-0.811933101,0.208018382,0.610414855,0.309417922,-0.062186946,0.227509848,-0.624395516,0.173912978,0.220069667,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.074485424,0.074927971,0.013035659,0.055375161,0.018211812,-0.033744648,0.029097562,-0.997337959,0.013035659,0.055375161,0.02904967,-0.010936589,0.173913067,0.023795844,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.242003728,0.243441565,0.078244251,0.922024806,0.099866079,0.021961516,0.034679846,-0.75600291,0.078244251,0.922024806,0.077523929,0.079557888,0.17391202,0.078014691,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.294828509,0.296580198,0.044675866,-0.643318426,0.103002192,0.9236619,0.114120511,0.038478166,0.044675866,-0.643318426,0.130811203,0.985429357,0.173913966,0.095420321,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.671016221,0.675002987,0.298969633,-0.880148742,0.216511741,0.495364249,0.274201002,-0.125086288,0.298969633,-0.880148742,0.250183254,0.715536792,0.173907405,0.222786183,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.052306441,0.052617214,0.009859833,0.964741906,0.021467619,-0.001171977,0.01146509,-0.974167709,0.009859833,0.964741906,0.019978262,0.00852342,0.173912997,0.016701086,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.669022958,0.672997881,0.312456863,-0.939198074,0.222238398,0.386939952,0.253872864,-0.191844707,0.312456863,-0.939198074,0.230678368,0.619894369,0.173904164,0.222101948,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.568777877,0.572157205,0.221715489,-0.173798199,0.256820482,-0.951914,0.1580299,0.359928995,0.221715489,-0.173798199,0.224069794,-0.832384659,0.173917168,0.187780186,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.603843362,0.607431028,0.280324194,-0.938132239,0.182129257,0.39103222,0.225926978,-0.167714053,0.280324194,-0.938132239,0.193611604,0.646156713,0.173907048,0.199766353,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.650712738,0.654578872,0.264137148,-0.193229854,0.29488948,-0.944981172,0.202413843,0.375983537,0.264137148,-0.193229854,0.266184156,-0.812992528,0.173919942,0.21582278,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.985124605,0.990977609,0.596460451,-0.666430796,0.637236541,0.676272655,0.595352258,-0.021506261,0.596460451,-0.666430796,0.669950181,0.825749145,0.056364272,0.797620379,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.595847317,0.599387475,0.178100907,-0.545383576,0.245527815,0.868657184,0.247429387,0.089524472,0.178100907,-0.545383576,0.283569783,0.982296504,0.173890523,0.197051244,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.329148994,0.331104595,0.058316576,-0.329857822,0.13757208,0.963555683,0.107528634,0.09396007,0.058316576,-0.329857822,0.146368744,-0.977779235,0.173913994,0.106813286,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.202759116,0.203963786,0.063846233,-0.066702463,0.082899008,-0.982147768,0.027063827,0.211271137,0.063846233,-0.066702463,0.064133932,-0.933934472,0.173912369,0.065185735,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.04488565,0.045152333,0.006261938,0.956911056,0.018114349,-0.002904587,0.011561324,-0.982880046,0.006261938,0.956911056,0.018044869,0.005125926,0.173913076,0.014329639,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.010678786,0.010742233,0.0031879,-0.996414831,0.00115861,0.987052134,0.004042062,-0.000929812,0.0031879,-0.996414831,0.003222668,0.996491643,0.173913044,0.003407894,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
0.387568855,0.38987155,0.08993773,-0.274042801,0.170013957,0.97541973,0.11874445,0.139479685,0.08993773,-0.274042801,0.170185365,-0.955480585,0.173914591,0.12634689,,157,31,29.5,180,30.5,180,32,180,29.5,180,29.5,180,34.5,32
